Complexity,Loss,Equation
1,0.0060675936,"0.102472365"
3,0.0045343763,"0.015495526 / x2"
5,0.0041990923,"0.009915686 * (x2 ^ -1.2391542)"
6,0.003879602,"(0.03346586 / sin(x2)) - 0.1305686"
8,0.00023649499,"sin(x1 * 7.086507) * (x0 + -0.42030776)"
9,0.00021898633,"sin(x1 * 7.086507) * sin(x0 + -0.42030776)"
10,6.317054e-5,"((x0 + -0.35920104) * sin(x1 * 6.833488)) - -0.05599398"
13,5.72281e-5,"((x0 + -0.4816545) * sin(x1 * 7.3092513)) / (cos(x0) - -0.48615658)"
14,2.6085965e-5,"((sin(x1 * 6.842869) * (x0 + -0.36660212)) / (x0 ^ -0.09486909)) - -0.0564455"
15,2.5965437e-5,"(sin(6.8392644 * x1) * ((-0.3659044 + x0) / (x0 ^ -0.09566301))) - sin(-0.056996066)"
18,2.567536e-5,"(((x0 + -0.36665425) / ((x0 ^ -0.048754018) ^ (x0 + 1.706482))) * sin(x1 * 6.843151)) - -0.05619684"
19,2.5359404e-5,"(((x0 + -0.36365807) / ((x0 ^ -0.1313887) ^ (x0 ^ sin(x0)))) * sin(x1 * 6.8367934)) - -0.058269754"
20,2.5225507e-5,"(((x0 + -0.36660212) / ((x0 ^ -0.09424276) ^ ((x0 ^ x0) + x0))) * sin(x1 * 6.842869)) - -0.0564455"
21,2.4792449e-5,"(sin(x1 * 6.842869) * ((x0 + -0.36660212) / ((x0 ^ -0.09424276) ^ ((x0 / sin(x0)) ^ 6.842869)))) - -0.056475516"
23,2.4606206e-5,"(sin(x1 * 6.842869) * ((x0 + -0.36660212) / ((x0 ^ -0.09424276) ^ ((x0 / sin(x0)) ^ (x1 * 6.842869))))) - -0.056475516"
24,2.3534723e-5,"(((x0 + -0.36611685) * sin(x1 * 6.845902)) / ((x0 ^ -0.093031414) ^ ((x1 + x0) ^ ((x0 - x2) * 2.0796912)))) - -0.056334484"
27,2.2704764e-5,"(((x0 + -0.36692575) * sin(x1 * 6.838255)) / ((x2 ^ -0.07833913) ^ cos((x0 ^ (exp(cos(x2) ^ 1.406679) * 0.4822747)) / 0.54974186))) - -0.05544609"
29,2.0423922e-5,"((x0 + -0.36708188) * (sin(x1 * 6.8481627) / ((x2 ^ -0.06798316) ^ cos((x0 ^ exp((x2 ^ x2) ^ cos(x2 / x2))) / 0.54394233)))) - -0.054766685"
